name,location,show_date_time,event_price,summary,url
"16 Hour Outdoor First Aid Training Dartmoor, Devon",Dartmoor Activity CentreDartmoor Activity Centre Newton Abbot TQ13 9XS United KingdomShow map,November 11 · 8:30am - November 12 · 5pm GMT,Free,This 16 Hour Outdoor First Aid course covers all the requirements of National Governing Body (NGB) Instructor Awards in the UK.,https://www.eventbrite.co.uk/e/16-hour-outdoor-first-aid-training-dartmoor-devon-tickets-1010336121537?aff=ebdssbdestsearch
National Coasteering Charter 2024 Symposium - South Devon,"Grenville House Outdoor Education Centre, Berry Head Road, Brixham, UKBerry Head Road Brixham TQ5 9AF United KingdomShow map","Sat, 16 Nov 2024 09:00 - Sun, 17 Nov 2024 14:00 GMT",£10,Get ready for an epic gathering of coasteering enthusiasts at the National Coasteering Charter 2024 Symposium in South Devon this November,https://www.eventbrite.com/e/national-coasteering-charter-2024-symposium-south-devon-tickets-772225857327?aff=ebdssbdestsearch
Adventure Therapy Fundraiser,Bomba4 The Quay Exeter EX2 4AP United KingdomShow map,"Tuesday, October 15 · 7 - 10pm GMT+1.Doors at 6:30pm",Free,"Come and listen to Richard Matthews share stories from the mountains, roads and other places on his adventures.",https://www.eventbrite.co.uk/e/adventure-therapy-fundraiser-tickets-1022305612607?aff=ebdssbdestsearch
Fireworks and Live Music 2024 at Tiverton Golf Club,Tiverton Golf ClubPost Hill Tiverton EX16 4NE United KingdomShow map,"Starts on Sat, 2 Nov 2024 17:00 GMT",£3 – £25,Join us for our annual Fireworks and Live music event,https://www.eventbrite.co.uk/e/fireworks-and-live-music-2024-at-tiverton-golf-club-tickets-752798970987?aff=ebdssbdestsearch
Duke of Edinburgh Gold Residential Week,Dynamic Adventures CICThe Adventure Centre Park Road Dartington TQ9 6EQ United KingdomShow map,October 28 · 10am - November 1 · 4pm GMT,Free,"Immerse yourself in an unforgettable adventure during our Duke of Edinburgh Gold Residential Week, tailored for young adults aged 16 to 24.",https://www.eventbrite.co.uk/e/duke-of-edinburgh-gold-residential-week-tickets-884851774477?aff=ebdssbdestsearch
Halloween Silent Disco Night at the Museum,Royal Albert Memorial Museum and Art GalleryQueen Street Exeter EX4 3RX United KingdomShow map,"Thursday, October 31 · 7 - 10:30pm GMT",Free,Get ready to dance in silence among the museum artifacts at our Silent Disco Night - it's going to be epic!,https://www.eventbrite.com/e/halloween-silent-disco-night-at-the-museum-tickets-1007646095597?aff=ebdssbdestsearch
Topsham Speed Dating for 30s-40s,The Lord Nelson Pub & KitchenHigh Street Topsham EX3 0DU United KingdomShow map,"Mon, 28 Oct 2024 19:30 - 21:30 GMT",Free,"Come join us for a fun night of speed dating in Topsham for singles in their 30s and 40s - who knows, you might just meet your perfect match",https://www.eventbrite.co.uk/e/topsham-speed-dating-for-30s-40s-tickets-1028874841347?aff=ebdssbdestsearch
ECG Wine & Cheese Tasting Evening,Exeter Historic Guildhall203 High Street Exeter EX4 3EB United KingdomShow map,"Thursday, October 17 · 6 - 8pm GMT+1",Free,Come and join us to sample some excellent wines accompanied by some specifically chosen delicious cheeses.,https://www.eventbrite.co.uk/e/ecg-wine-cheese-tasting-evening-tickets-1012738156087?aff=ebdssbdestsearch
Ignite the Night,"The Turf, Exeter, England, UKThe Turf, Exeter, England, UK Exeter EX6 8EE United KingdomShow map","Sat, 2 Nov 2024 18:00 - 22:00 GMT",Free,Get ready to light up the night at The Turf as Bonfire Night returns with a spectacular fireworks show you won’t want to miss!,https://www.eventbrite.co.uk/e/ignite-the-night-tickets-1026779062817?aff=ebdssbdestsearch
Halloween Children's Party,Mercure Exeter Rougemont HotelQueen Street Exeter EX4 3SP United KingdomShow map,"Thursday, October 31 · 4 - 8pm GMT",Free,"Get ready for a spooktacular Halloween Children's Party filled with treats, food, music, and fun for the little ones!",https://www.eventbrite.com/e/halloween-childrens-party-tickets-943517334747?aff=ebdssbdestsearch
